assessor,treatm,colour,cons,taste,quality
8,52,5,5,5,5
8,51,5,5,5,5
8,51,6,5,5,5
8,50,5,5,5,5
8,50,5,3,3,3
8,49,6,6,6,6
8,49,5,2,2,3
8,48,6,6,6,6
8,48,6,6,6,6
8,47,4,4,4,3
8,47,5,3,3,3
8,46,5,5,5,5
8,46,5,5,5,4
9,55,5,4,5,5
9,55,5,5,5,5
9,54,5,6,7,6
9,54,5,6,5,5
9,53,5,6,5,5
9,53,4,7,7,6
9,52,5,5,6,5
9,52,4,6,6,5
9,51,5,5,5,5
9,51,7,5,5,5
9,50,4,5,5,5
9,50,5,6,6,5
9,49,5,7,6,6
9,49,7,7,7,7
9,48,6,5,6,6
9,48,7,7,7,7
9,47,5,7,7,7
9,47,5,5,5,5
9,46,5,6,6,6
9,46,5,6,6,6
10,55,6,4,6,5
10,55,5,3,5,4
10,54,5,4,5,5
10,54,6,4,5,5
10,53,4,3,3,4
10,53,5,3,4,4
10,52,4,4,4,4
10,52,1,3,5,3
10,51,5,6,7,6
10,51,6,7,7,6
10,50,1,4,4,3
10,50,2,4,4,3
10,49,5,5,5,5
10,49,5,4,4,4
10,48,7,6,6,6
10,48,8,8,8,8
10,47,5,4,5,5
10,47,5,3,5,4
10,46,5,3,4,4
10,46,5,4,4,4
11,55,5,3,5,4
11,55,4,4,4,4
11,54,5,6,6,5
11,54,7,6,6,6
11,53,6,5,5,5
11,53,4,5,4,4
11,52,5,3,5,4
11,52,6,5,2,3
11,51,5,4,4,4
11,51,6,5,5,5
11,50,4,2,1,2
11,50,3,4,4,4
11,49,4,4,4,4
11,49,5,2,5,5
11,48,6,6,5,6
11,48,6,6,6,6
11,47,3,4,6,4
11,47,5,5,2,4
11,46,5,5,6,5
11,46,5,4,5,5
12,55,5,4,4,4
12,55,5,4,3,4
12,54,6,4,5,4
12,54,5,4,4,4
12,53,5,4,2,2
12,53,4,4,3,3
12,52,5,4,5,4
12,52,6,4,3,3
12,51,5,4,5,5
12,51,5,3,4,3
12,50,5,4,3,3
12,50,5,3,1,1
12,49,6,5,4,4
12,49,5,3,3,3
12,48,6,5,6,6
12,48,6,5,4,4
12,47,5,5,4,4
12,47,4,3,1,1
12,46,5,5,5,5
12,46,5,5,4,4
13,55,5,4,4,4
13,55,5,4,4,4
13,54,4,4,4,4
13,54,5,4,4,4
13,53,5,4,2,3
13,53,5,4,4,4
13,52,5,5,4,4
13,52,4,4,5,5
13,51,5,5,5,5
13,51,5,5,5,5
13,50,4,4,3,3
13,50,5,4,2,2
13,49,5,5,5,5
13,49,5,5,4,4
13,48,6,5,6,5
13,48,6,6,6,6
13,47,5,4,5,5
13,47,5,4,4,4
13,46,5,4,3,3
13,46,6,5,5,5
